ALDH1A1	ALDH1A1	NA
SVIL	HAX1	0.9999995793
SVIL	SH3PXD2A	0.7283594469
SVIL	FLNA	0.0419609642
SVIL	MIF4GD	0.6728678379
LGALS3BP	NID1	0.9978247879
SVIL	ODF2	0.8534435882
SVIL	HMMR	0.6728678379
SVIL	SH3PXD2A	0.7283594469
SVIL	CTTN	0.1086660849
SVIL	MYH10	0.9503258829
SVIL	MYH9	0.6527826194
SVIL	MYLK	0.3863586809
SVIL	MYH10	0.9503258829
SVIL	TRIP6	0.0532237307
SVIL	DYNLT1	0.4527258275
PRELP	NID1	0.9998576922
SVIL	GOLGA2	0.1748676261
SVIL	AMOTL2	0.4527258275
SVIL	LPP	0.9990250929
SVIL	CTBP2	0.1378497842
SVIL	MAD1L1	0.2218216814
SVIL	MIF4GD	0.6728678379
SVIL	HSPA5	1
SVIL	KIF4A	0.788425703
SVIL	TRIP6	0.0532237307
SVIL	DYNLT1	0.4527258275
LACRT	NID1	0.9251724874
SVIL	TRIP6	0.0532237307
SVIL	DYNLT1	0.4527258275
SVIL	TRIP6	0.0532237307
SVIL	NEB	0.574241907
SVIL	SPTAN1	0.2288345176
SVIL	MYH9	0.6527826194
SVIL	MYO1G	0.9238211382
SVIL	FLOT2	0.6216025854
SVIL	ACTB	0.0001482225
SVIL	GNAI2	0.1150512088
GFI1B	LZTS2	0.9999986642
SVIL	SPTBN1	0.9641316696
SVIL	CLTC	1
SVIL	ACTN4	0.1086660849
SVIL	ACTN1	0.0222394092
SVIL	MMP25	0.788425703
SVIL	VIM	1.2909042825995E-008
SVIL	FLOT1	0.4527258275
SVIL	GNB2	0.3297176483
SVIL	STOM	0.6216025854
SVIL	GPSM3	0.788425703
GFI1B	JUB	0.9997687613
SVIL	MYL12A	0.9238211382
SVIL	GLIPR2	0.9238211382
SVIL	CAMP	0.6216025854
SVIL	CAV3	0.4182283403
ABCE1	RNASE2	0.6105887243
GFI1B	BECN1	0.9739627841
NRAP	ACTB	0.9819113169
EGF	EGF	NA
EGFR	EGF	0.9999870264
NRG1	EGF	0.9747198072
ERBB2	EGF	0.9999870264
ERBB3	EGF	0.9999870264
VTN	EGF	0.9295033734
DUSP3	EGF	0.9689247601
PIK3R2	EGF	0.9999870264
EGFR	EGFR	NA
LASP1	ACTB	0.800752309
ESR1	EGFR	9.53043003163615E-028
ITGA5	EGFR	0.9999999999
EGFR	RASA1	1
GNAI2	EGFR	5.29422556776767E-006
HTT	EGFR	0.0003064956
CASP1	EGFR	0.0015785163
JAK2	EGFR	1
KRT7	EGFR	0.8093628412
KRT8	EGFR	0.6249090562
KRT17	EGFR	0.3635927694
SMAD3	ACTB	3.07474350797325E-005
KRT18	EGFR	0.0196106306
XRCC6	EGFR	4.46208695294533E-006
EGFR	MUC1	1
EGFR	CRK	1
EGFR	ERBB2	1
VAV1	EGFR	1
EGFR	CBL	1
PIK3R1	EGFR	1
EGFR	PLCG1	1
PDGFRB	EGFR	1
S100A11	ACTB	0.5715998572
PTPN11	EGFR	1
PTPN6	EGFR	1
EGFR	PTPN1	0.9999999998
FER	EGFR	0.9994717917
PRKCA	EGFR	1
PRKCD	EGFR	1
SOS1	EGFR	1
TNC	EGFR	0.9972811912
PRKAR1A	EGFR	0.0182463876
CEBPB	EGFR	4.10959016041363E-006
SMARCA4	ACTB	0.0037123453
SRC	EGFR	1
ERBB3	EGFR	1
CDH1	EGFR	0.4813450219
MT-CO2	EGFR	0.6029959478
PITPNA	EGFR	0.9998756379
EPS8	EGFR	0.9938116703
BTC	EGFR	0.9628512586
EGFR	VAV2	0.9999991155
NCK1	EGFR	1
EGFR	STAT1	1
SCIN	ACTC1	0.9829760077
CDK5R2	ACTB	0.5715998572
SHC1	EGFR	1
PTK2	EGFR	1
INPPL1	EGFR	0.9999999846
PTPRJ	EGFR	0.9999972886
AMH	EGFR	0.4682378421
TJP1	EGFR	1
SNRPD2	EGFR	0.0063464961
CAMLG	EGFR	0.8725121593
ARF4	EGFR	0.6029959478
CPNE1	ACTB	0.3991212069
PTK2B	EGFR	1
SOS2	EGFR	0.9999999992
CAV3	EGFR	0.9999513298
SNX1	EGFR	0.9961366185
PLEC1	EGFR	0.9534181719
YWHAZ	EGFR	1.36058015302754E-012
STAT5A	EGFR	1
GRB7	EGFR	0.9999999422
GRB10	EGFR	0.9999999382
GRB14	EGFR	0.9999513298
CPNE2	ACTB	0.8981949497
PRKACA	EGFR	0.0022937935
MAP4K1	EGFR	0.9999999991
PTK6	EGFR	0.9975075731
EREG	EGFR	0.9500663828
CAMK2G	EGFR	0.7916560421
EGFR	PLD2	1
EGFR	RGS16	0.7289338996
PIK3C2B	EGFR	0.9994432301
RIPK1	EGFR	0.002482819
SOCS1	EGFR	1
CPNE4	ACTB	0.3630483117
ZNF259	EGFR	0.3635927694
SOCS3	EGFR	1
EGFR	STAT5B	1
EGFR	HGS	0.0082828786
EGFR	GAB1	1
CBLB	EGFR	1
MAP3K14	EGFR	0.0001424113
SH2D3A	EGFR	0.9500663828
NCK2	EGFR	1
DOK2	EGFR	0.9999998409
GNA12	ACTB	0.040076845
VAV3	EGFR	0.9999873369
EGFR	PKIA	0.219231286
EGFR	STAM2	0.9293235736
EGFR	SCAMP1	0.7431892632
EGFR	SCAMP3	0.1702319587
TNK2	EGFR	0.9999999999
EPPK1	EGFR	0.7765311653
CAMK2A	EGFR	1
PTPN2	EGFR	0.9999990751
TGFA	EGFR	0.9999991155
PFDN1	ACTB	0.3630483117
PLSCR1	EGFR	2.63425982502716E-007
EGFR	EPS15	0.9831348952
CD82	EGFR	1
ERRFI1	EGFR	0.8725121593
SNX2	EGFR	0.99984424
SNX4	EGFR	0.9999986149
CBLC	EGFR	0.9999722246
SHC3	EGFR	0.9998205466
SNX6	EGFR	0.5595187713
PFDN4	ACTB	0.9147521935
DEGS1	EGFR	0.7765311653
FYN	FLOT2	0.9747324531
CAV1	FLOT2	0.9747324531
CAV2	FLOT2	0.974731103
DOM3Z	FLOT2	0.9248978583
GFI1B	KALRN	0.7622871969
GFI1B	DNAJA3	0.4848485283
ESR1	NR2F6	0.9989304528
NR3C1	NR2F6	0.9989304528
NCOA1	NR2F6	0.9989304528
CORO1A	ACTB	0.9533692651
ANGPTL1	NR2F6	0.4621204802
THRB	NR2F6	0.9989304528
PRMT8	PRMT1	0.4626152691
ESR1	NR2F1	0.9999999627
RXRA	NR2F1	0.9999999627
SP1	NR2F1	0.9999999627
AHR	NR2F1	0.9999999621
HNF4A	NR2F1	0.9999999627
ISL1	NR2F1	0.9999887898
NCOA1	NR2F1	0.9999999627
WASF1	ACTB	0.1440364104
BCL11A	NR2F1	0.8977099007
BCL11B	NR2F1	0.9895391177
THRA	NR2F1	0.9999999627
GTF2B	NR2F1	0.9999999627
SLC2A1	STOM	0.9495223329
ACCN3	STOM	0.0496631643
LANCL1	STOM	0.9630099338
GFI1B	HGS	0.9999924451
EPOR	EPO	0.7765311653
GFI1B	PICK1	0.149423288
WASF3	ACTB	0.5715998572
CSF2RB	EPOR	1
GNAI1	EPOR	0.0002053383
JAK2	EPOR	1
VAV1	EPOR	1
KIT	EPOR	1
LYN	EPOR	1
PIK3R1	EPOR	1
KLK3	EPOR	0.0289678433
PTPN11	EPOR	1
PTPN6	EPOR	1
CDX2	ACAT2	0.8954424022
ABRA	ACTC1	0.9829760077
CCT4	ACTB	0.4970049604
MAPK1	EPOR	0.0002053383
GNB2L1	EPOR	1
KITLG	EPOR	0.9999937972
SYK	EPOR	1
SHC1	EPOR	1
IRS2	EPOR	1
STAT5A	EPOR	1
MAPK3	EPOR	0.0002053383
CRKL	EPOR	1
CISH	EPOR	0.999999341
WASF2	ACTB	0.0806662497
SOCS3	EPOR	1
GRAP	EPOR	0.9999972886
SOCS2	EPOR	0.9999722246
GAB2	EPOR	0.9999999996
ATXN2L	EPOR	0.8725121593
GFI1B	BRE	0.9980450613
ESR1	ESR1	NA
FOXO1	ESR1	0.9964126735
HSP90AA1	ESR1	1
LCK	ESR1	3.14130019838661E-015
PDLIM5	ACTB	0.3267051327
POU2F1	ESR1	0.9999999999
AKT1	ESR1	1
AKT2	ESR1	0.9999650859
MDM2	ESR1	1
JUN	ESR1	1
ATXN2	LCP1	0.4969936476
PIK3R1	ESR1	2.08050730033381E-020
PTPN6	ESR1	8.04512659714085E-017
PTPN1	ESR1	0.0988648667
MAPK1	ESR1	1
CLIC4	ACTB	0.9533692651
CEBPB	ESR1	1
GTF2H1	ESR1	0.2661441475
SRC	ESR1	1.08159559732561E-019
TP53	ESR1	3.26140016927925E-007
XBP1	ESR1	0.8977099342
FOXO4	ESR1	0.5960844013
RPS6KA3	ESR1	0.9988432569
AR	ESR1	1
SMARCA2	ESR1	0.9999128126
TBP	ESR1	1
CCT5	ACTB	0.727293958
CREBBP	ESR1	1
AHR	ESR1	0.9999999994
MAPK14	ESR1	1
ISL1	ESR1	0.9999888271
SHC1	ESR1	1.34381098804038E-018
NCOR2	ESR1	1
NCOR1	ESR1	1
CAV1	ESR1	1.33066471339369E-006
PRDM2	ESR1	0.9672875826
SMAD2	ESR1	1.13291257638209E-023
CCT2	ACTB	0.6573879413
TDG	ESR1	0.9999996826
NR2C2	ESR1	0.3226533867
BAG1	ESR1	0.9949039471
STAT5A	ESR1	0.0136075241
NR2C1	ESR1	0.9852777467
ESR2	ESR1	1
RPS6KA1	ESR1	0.9999999143
NCOA3	ESR1	1
RGS3	ESR1	0.1565839111
NRIP1	ESR1	0.9999999994
PAK1	ESR1	8.00752263652251E-005
MNAT1	ESR1	0.967253138
NCOA1	ESR1	1
EP300	ESR1	1
TNFRSF14	ESR1	0.5192438814
SAFB	ESR1	0.9998174477
REXO4	ESR1	0.8977099342
TRRAP	ESR1	0.9999988584
SMARCE1	ESR1	0.9999483193
SMARCA4	ESR1	0.9999999999
POLR2A	ACTB	0.0002985839
TRIM24	ESR1	1
MTA1	ESR1	0.5931262492
RFX4	ESR1	0.3146455849
MED1	ESR1	1
TRIP4	ESR1	0.9999987726
PPARGC1A	ESR1	1
NR0B2	ESR1	1
AKAP13	ESR1	0.7280316943
GADD45B	ESR1	0.999860589
GADD45G	ESR1	0.9999959466
FHL3	ACTB	0.5052830384
MKNK2	ESR1	0.9610757659
MVP	ESR1	0.8097185179
NCOA6	ESR1	1
RNF14	ESR1	0.9852777467
MED24	ESR1	0.9966550018
PTGES3	ESR1	0.9765409966
SAFB2	ESR1	0.9005328667
PAK6	ESR1	0.9672875826
HSP90AB1	ESR1	0.4138258696
POLR1B	ESR1	0.9610757659
SCN10A	ACTB	0.9829760077
PRMT2	ESR1	0.9972072142
NCOA2	ESR1	1
RBM39	ESR1	0.9852777467
NSD1	ESR1	0.9989304528
DNTTIP2	ESR1	0.9989304528
PELP1	ESR1	0.9461588579
PPARGC1B	ESR1	0.9966550018
PRPF6	ESR1	0.9945649469
COBRA1	ESR1	0.9966550018
ZBTB16	ESR1	0.0033276034
ABLIM3	ACTC1	0.8695121951
NCALD	ACTB	0.8213143363
DDX54	ESR1	0.9895391546
NCOA7	ESR1	0.8977099342
RBM9	ESR1	0.0889301825
TAF10	ESR1	0.9999999996
CDK7	ESR1	0.9999999946
PIAS1	ESR1	1
LOH3CR2A	ESR1	0.6801626016
MMS19	ESR1	0.9895391546
PNRC2	ESR1	0.9999964079
STRN	ESR1	0.9252076551
SSH1	ACTB	0.9919863368
ZNF398	ESR1	0.6801626016
HSP90AA1	RUNX1T1	0.6971268092
PRKAR2A	RUNX1T1	0.1583957336
HDAC8	RUNX1T1	0.5714768187
ID3	RUNX1T1	0.6971261877
KPNA1	RUNX1T1	0.4377475106
NCOR2	RUNX1T1	0.6971268092
NCOR1	RUNX1T1	0.6971268092
KPNB1	RUNX1T1	0.1583957336
SSH2	ACTB	0.9829760077
CBFA2T3	RUNX1T1	0.3756636321
GFI1	RUNX1T1	0.9531640496
ID1	RUNX1T1	0.4377475106
SIN3A	RUNX1T1	0.6971268092
ZBTB16	RUNX1T1	0.6795906898
EIF4E	EIF4E	NA
PRKCA	EIF4E	0.9999999978
PRKCB	EIF4E	0.9999999978
PRKCG	EIF4E	0.6169618376
EMX2	EIF4E	0.7765311636
SSH3	ACTB	0.997779379
EIF4EBP1	EIF4E	0.0081740919
EIF4EBP2	EIF4E	0.7765311636
EIF4B	EIF4E	0.5132272493
MKNK2	EIF4E	0.2823323076
EIF4G1	EIF4E	0.0799321615
EIF4G3	EIF4E	0.2823323076
EIF4G2	EIF4E	0.0796959878
EIF4EBP3	EIF4E	0.6029959465
MAPKAPK5	EIF4E	0.0081740919
MKNK1	EIF4E	0.309115822
MYO18B	ACTB	0.7560483826
EIF4ENIF1	EIF4E	0.2192312856
POU5F1	EWSR1	0.9961604063
PRKCA	EWSR1	1.72101986012485E-013
BTK	EWSR1	0.1463245734
TAF1	EWSR1	0.3009362085
CREBBP	EWSR1	3.51616025028014E-020
PTK2B	EWSR1	0.1002790188
SF1	EWSR1	1
BARD1	EWSR1	0.8067755119
POU4F1	EWSR1	0.9966694564
CAP1	ACTB	0.9819113169
SNRPC	EWSR1	0.9337101915
POLR2G	EWSR1	0.9948521198
BCR	ERCC3	0.9990253943
GTF2E1	ERCC3	0.3297176483
GTF2E2	ERCC3	0.8466808722
GTF2H1	ERCC3	1
TP53	ERCC3	1
XPC	ERCC3	0.8538547069
PSMC5	ERCC3	0.2813777985
GTF2H2	ERCC3	0.9999856299
TMSL1	ACTB	0.8695121951
GTF2H4	ERCC3	0.788425703
MNAT1	ERCC3	0.999778286
GTF2H3	ERCC3	0.9238211382
CCNH	ERCC3	0.9994673054
CDK7	ERCC3	0.2049148527
GTF2H1	ERCC4	0.9998421734
ERCC6	ERCC5	0.8805156331
PCNA	ERCC5	0.2180832817
GTF2H1	ERCC5	0.8805156718
NTHL1	ERCC5	0.9662092637
TMSL4	ACTB	0.8695121951
GTF2E2	ERCC6	0.846680835
TP53	ERCC6	0.999999956
XPA	ERCC6	0.999999956
CHEK2	ERCC6	0.999999956
POLR2A	ERCC6	0.0211776802
XAB2	ERCC6	0.9057666157
PRKCA	SLC1A1	0.4682378421
ARL6IP5	SLC1A1	0.9901791085
GFI1B	PDE4DIP	0.9134996542
EXT2	EXT1	0.9834850081
ARPC1B	ACTB	0.9993696639
TRAP1	EXT1	0.9852385201
TRAP1	EXT2	0.9981979044
GALNT5	EXT2	0.8769631791
SERPINF2	CFD	0.7718236399
CFHR1	CFH	0.6780701891
CFI	CFH	0.7718236006
DMP1	CFH	0.7718236006
SELL	CFH	0.0796959824
APOA1	CFHR1	0.9960045147
LBP	CFHR1	0.9960044464
NEBL	ACTB	0.9147521935
PLG	F3	0.9990185158
F7	F3	0.9988763477
F10	F3	0.9990185158
FLNA	F3	0.2823323082
FANCB	F3	0.984282524
F13B	F13A1	0.9852463763
FGA	F13A1	0.9999967767
FGG	F13A1	0.9998031659
FN1	F13A1	0.9999967982
F2	F13A1	0.9999967982
KLHL17	ACTC1	0.8695121951
XPO6	ACTB	0.4970049604
FGG	F13B	0.9850587541
GFI1B	MATR3	0.9889498175
FGFR1	FDPS	0.6029959478
FNTB	FNTA	0.9999279544
FNTA	RHOB	0.9995520769
FNTA	HRAS	0.079695988
KRAS	FNTA	0.1432936184
TGFB1	FNTA	0.9999999491
TGFBR1	FNTA	0.9999999491
CCT8	ACTB	0.8695121951
FNTA	CENPF	0.9978247371
FNTA	GBP1	0.9852494807
FNTA	PTP4A3	0.9852494807
FNTB	HRAS	0.1321832033
KRAS	FNTB	0.045731323
FNTB	CENPF	0.9977529497
FNTB	GBP1	0.9851785981
FNTB	PTP4A3	0.9851785981
PIP4K2B	UBQLN4	0.9533692651
FASLG	FAS	0.9994317384
ABRA	ACTB	0.9829760077
FYN	FAS	0.9994317543
LCK	FAS	0.9994317543
UBA7	FAS	0.9495265116
BTK	FAS	0.9994317543
PTPN13	FAS	0.6270423121
PDCD6	FAS	0.9032185189
CASP8	FAS	0.9225223025
SUMO1	FAS	0.0865859166
FADD	FAS	0.9225223025
DAXX	FAS	0.0865859166
TPM2	ACTB	0.8981949497
RIPK1	FAS	0.9225223025
TRADD	FAS	0.9225223025
HIPK3	FAS	0.0146740008
FAF1	FAS	0.0618464267
TNFSF13	FAS	0.9225055696
CASP8AP2	FAS	0.9224874654
UBE2I	FAS	0.0865859166
FAIM2	FAS	0.7760899048
FEM1B	FAS	0.872016358
SYNJ2BP	ACTB	0.7705345238
FN1	FASLG	0.0302652701
FYN	FASLG	0.9999999841
LCK	FASLG	0.9999999841
MLL	FASLG	0.0119340582
PIK3R1	FASLG	0.9999999841
MMP7	FASLG	0.0979164703
SRC	FASLG	0.9999999841
NCF1	FASLG	0.9999999677
DMD	FASLG	0.9999999839
PTPN13	FASLG	0.006346496
LGALS13	ACTB	0.9533692651
NCK1	FASLG	0.9999999841
PDCD6	FASLG	0.9037320465
SUMO1	FASLG	0.0119340588
FADD	FASLG	0.1157602886
APBB1	FASLG	0.5595187624
DAXX	FASLG	0.0119340588
TNFRSF6B	FASLG	0.4682378347
GRAP	FASLG	0.9999972727
GRAP2	FASLG	0.9999999841
PACSIN2	FASLG	0.9994432142
C20orf20	ACTB	0.1867202977
PPFIA4	AGTPBP1	0.9983198995
PRPF40A	FASLG	0.1157602886
FASLG	PIN1	0.0119340588
FASLG	FNBP1	0.9994717758
PPARA	FABP1	0.8977099341
PPARG	FABP1	0.8977099342
PPFIA1	AGTPBP1	0.9999856299
TNNI3K	FABP3	0.6025715094
CACNA1G	UBQLN4	0.8695121951
TGM2	GSTP1	0.4039101684
TANC1	ACTB	0.1867202977
MAPK8	GSTP1	0.6017232445
FTL	FTH1	0.8902840701
FTL	FTL	NA
KNG1	FTL	0.8596085141
IGDCC3	FTL	0.8618539397
MPP6	FTL	0.8666312502
FAM127A	UBQLN1	0.8695121951
FUBP3	QKI	0.9662872629
DDX5	FBL	0.5922105601
SNRPN	FBL	0.9498838974
ATN1	DVL2	0.4728679537
PIN4	FBL	0.3586778399
PSMB6	FBL	0.9993771585
SMN1	FBL	0.9995349117
PRMT1	FBL	0.5960844013
USP6	ATXN7L3	0.9533332631
DDX17	FBL	0.7393179428
AIFM1	TSC22D4	0.6655345164
FBLN2	FBN1	0.9999999932
MFAP2	FBN1	0.9999736071
MFAP5	FBN1	0.9934884508
ATN1	ECM1	0.9934879634
MYOC	FBN1	0.9999999932
FGB	FGA	0.9999798965
FGG	FGA	0.9998063456
BAT2	FGA	0.1411557954
HRG	FGA	0.9998576707
PLAT	FGA	0.9999999772
ITGB3	FGA	0.1457292586
F2	FGA	0.9999999785
THBS1	FGA	0.9999999785
MIB2	ACTC1	0.8695121951
ATN1	MEGF6	0.9022305591
SERPINF2	FGA	0.9999999785
CDH5	FGA	0.1457292579
SERPINA5	FGA	0.9999999785
ITGA2B	FGA	0.9853739982
FGG	FGB	0.999786289
FBLN1	FGB	0.9999787433
LPA	FGB	0.999786289
SERPINA5	FGB	0.999979918
FGG	FGG	NA
ICAM1	FGG	0.3685449443
ATN1	MEGF8	0.9337101915
ITGB3	FGG	0.3685450583
VTN	FGG	0.7124646313
SERPINA5	FGG	0.9998063671
HGS	UBQLN4	1
FGFR4	FGF2	0.0014245043
FGFR1	FGF2	0.0408949554
HSPG2	FGF2	0.0004126899
PF4	FGF2	0.0311397743
ATN1	EWSR1	1
VTN	FGF2	0.0005860915
GPC3	FGF2	0.214001977
GPC4	FGF2	0.3146455845
PRMT1	FGF2	0.9999999987
RPS19	FGF2	0.9672875814
RPL6	FGF2	0.912671803
CXCL13	FGF2	0.0457875071
FGFBP1	FGF2	0.8097185169
FGFRL1	FGF2	0.6801626008
CEP57	FGF2	0.3146455845
ATN1	FBLN1	0.5393239947
API5	FGF2	0.6801626008
FGFR4	FGF6	0.9975075726
FGFR3	FGFR3	NA
PNMA1	UBQLN4	0.9999746671
FGF8	FGFR3	0.9975075731
FGFR3	STAT1	1
FGF9	FGFR3	0.9975075731
SH2B1	FGFR3	0.9999722246
C6orf47	FGFR3	0.6029959478
GPSM3	FGFR3	0.4682378421
ATN1	FBLN2	0.4865697322
NUMBL	-	0.9927040519
FGFR4	FGFR4	NA
FGF8	FGFR4	0.9975075726
FGFR4	STAT1	0.9999999995
FGF19	FGFR4	0.7765311649
ITGA5	FN1	0.2571911496
ITGB1	FN1	0.0003236161
FBLN1	FN1	0.9999988253
FBLN2	FN1	1
GSN	FN1	0.0658589857
ATN1	EFEMP1	0.9786954802
SDC2	FN1	0.7254092852
IGFBP3	FN1	1
ITGB7	FN1	0.1432936257
LTBP1	FN1	0.9995521277
LPA	FN1	0.9998063671
MAG	FN1	0.7964831021
NOV	FN1	0.999143285
REG3A	FN1	0.9990185158
ITGB3	FN1	0.1701206141
KLK3	FN1	0.9999999785
ATN1	KIAA0913	0.9337101915
AMBP	FN1	0.9934884575
TNC	FN1	0.4597637219
THBS1	FN1	1
TGM2	FN1	1
SCGB1A1	FN1	0.9251724874
ITGA4	FN1	0.1258816146
VHL	FN1	0.9999999584
COL4A5	FN1	0.9999999932
COL4A6	FN1	0.9999999491
MEP1A	FN1	0.9999999995
ATN1	RAD54L2	0.9022305591
MEP1B	FN1	0.2113541606
LGALS3BP	FN1	0.9978247879
CXCL12	FN1	0.9943908766
PKD1	FN1	0.7254092852
MIA	FN1	0.8785365854
MYOC	FN1	1
TGFBI	FN1	0.9999999943
PRELP	FN1	0.9998576922
MATN2	FN1	0.9999999991
TSHR	FN1	0.0658589857
ATN1	SSPO	0.9999617731
ITGA3	FN1	0.1432936257
LACRT	FN1	0.9251724874
TAC1	FN1	0.7473974864
LRG1	FN1	0.8785365854
TMPRSS6	FN1	0.9982090601
PDLIM7	UBQLN4	0.9992739418
ITGB1	ITGA5	0.9999999999
CD9	ITGA5	0.9999999999
CRIPT	UBQLN4	0.3757445122
ITGB5	ITGA5	0.9999999999
ATN1	MYST4	0.9022305591
SPP1	ITGA5	0.7633598461
PECAM1	ITGA5	0.9999999946
ITGB3	ITGA5	0.9999999999
TNC	ITGA5	0.9972811912
L1CAM	ITGA5	0.4036407251
AUP1	ITGA5	0.974732453
ARHGAP5	ITGA5	0.98311564
GIPC1	ITGA5	0.9999999999
ANGPTL3	ITGA5	0.8725121593
NISCH	ITGA5	0.8725121593
KPTN	ACTC1	0.8695121951
ATN1	RBM9	0.9948521198
ITGB1	ITGB1	NA
FLT4	ITGB1	0.9999972886
QKI	USH1C	0.8140130539
QKI	SERF2	0.9999999617
ITGA6	ITGB1	0.9999999999
LAMA1	ITGB1	0.0528963883
NME1	ITGB1	0.0799321616
SLC3A2	ITGB1	0.9999986149
SPP1	ITGB1	0.7633598462
CD36	ITGB1	0.9999551425
CD44	MADCAM1	0.8725121593
PRKCA	ITGB1	1
GNB2L1	ITGB1	1
TLN1	ITGB1	1
TGM2	ITGB1	0.0075954681
VCAM1	ITGB1	0.9998205466
ITGA1	ITGB1	0.9689373308
ITGA4	ITGB1	0.2716245633
FLNA	ITGB1	1
QKI	RBM14	0.8140130539
EPS8	ITGB1	0.9938116703
ITGB7	MADCAM1	0.8724791586
LGALS3BP	ITGB1	0.3685450583
PTK2	ITGB1	1
YWHAB	ITGB1	0.0073217033
ILK	ITGB1	0.9995530514
PXN	ITGB1	1
FHL2	ITGB1	0.0007961822
TSPAN4	ITGB1	0.9999722246
ARHGAP5	ITGB1	0.9831156401
DOK1	ITGB1	1
TGOLN2	ITGB1	0.6746719032
ITGA4	MADCAM1	0.8931515779
FLNB	ITGB1	0.3091158227
ITGA9	ITGB1	0.9224807288
ITGA10	ITGB1	0.7765311653
ACTN4	ITGB1	0.9999999996
MAP4K4	ITGB1	0.9689373308
ITGA11	ITGB1	0.7765311653
ITGA3	ITGB1	0.9999621773
FBXO2	ITGB1	0.4682378421
ITGB1BP1	ITGB1	0.9897649452
NF2	ITGB1	0.9999278849
ADD2	ADD1	0.99841924
LGALS8	ITGB1	0.7821730601
ITGA8	ITGB1	0.3635927694
ITGB1BP3	ITGB1	0.7821730601
HSPG2	FBLN1	0.9929089907
ACAN	FBLN1	0.9999988253
NOV	FBLN1	0.9991421113
MFAP5	FBLN1	0.9934872904
QKI	RBPMS	1
HSPG2	FBLN2	0.9616457014
LAMC2	FBLN2	0.9999736139
CALM1	ADD1	0.5938109574
LAMA1	FBLN2	1
ACAN	FBLN2	1
ITGB3	FBLN2	0.1701206141
COL4A5	FBLN2	0.9999999932
COL4A6	FBLN2	0.9999999491
BCAN	FBLN2	0.9999999993
LAMA5	FBLN2	0.9999999932
PRELP	FBLN2	0.9998576922
FGFR1	FGFR1	NA
FGF5	FGFR1	0.9975075731
PRKCD	ADD1	0.0373079444
FGFR1	PLCG1	1
SOS1	FGFR1	1
SHC1	FGFR1	1
GRB14	FGFR1	0.9999513298
KPNB1	FGFR1	3.11698587412551E-005
BNIP2	FGFR1	0.9513838889
FGFR1	FRS2	1
FRS3	FGFR1	0.9998205466
FGFR1	IL17RD	0.6029959478
ATP1A1	ADD1	0.9950211498
FLT3	FLT3	NA
FLT3LG	FLT3	0.8725118895
SOCS1	FLT3	0.9999996907
CBLB	FLT3	0.9999996907
FIZ1	FLT3	0.6029957614
FIGF	FLT4	0.9888408133
SHC1	FLT4	0.9999972886
VEGFC	FLT4	0.9500638067
SPTA1	ADD1	0.939811072
LYN	FOLR1	0.7765311653
GRK4	FSHR	0.2447502227
YWHAQ	FSHR	0.8649981221
AKT2	FSHR	0.3226421215
GRK6	FSHR	0.0135593841
APPL1	FSHR	0.3295883805
INHBA	FST	0.9999736139
INHA	FST	0.9997562138
SPTB	ADD1	0.9586394199
INHBE	FST	0.8785134042
QKI	C10orf10	0.9844372618
JUN	FOSL1	0.8097185179
JUNB	FOSL1	0.5228022803
USF1	FOSL1	0.7789975918
HOXA5	FOXO1	0.9953469631
HOXA10	FOXO1	0.9957108542
AKT1	FOXO1	0.9964126735
CEBPB	FOXO1	0.9964126735
SRC	FOXO1	0.001790423
TNNI3K	ACTC1	0.3757445122
ID2	ADD1	0.5938109573
G6PC	FOXO1	0.6777226363
AR	FOXO1	0.9964126735
CREBBP	FOXO1	0.9964126735
HNF4A	FOXO1	0.9964126735
SMAD4	FOXO1	0.8203408711
YWHAZ	FOXO1	0.0302943619
PAK1	FOXO1	0.8203408711
SMAD3	FOXO1	0.8203408711
GSK3B	FOXO1	0.3898690755
YWHAG	FOXO1	0.422229458
CASP3	ADD1	0.5938109574
CSNK1G1	FOXO1	0.460955717
DYRK1A	FOXO1	0.4222292621
GNAI2	FPR1	0.8424170886
ANXA1	FPR1	0.2823196753
QKI	RBM9	0.2438005122
CAMP	FPR2	0.7697707148
QKI	RNF138	0.9998509495
MDH2	FH	0.8695079144
FURIN	FURIN	NA
FURIN	DSG3	0.9628512586
PRKACA	ADD1	0.9999965376
FURIN	PRB4	0.7765311653
FURIN	ZP3	0.8725121593
FURIN	NOTCH1	4.42722657419658E-005
FLNA	FURIN	1
FURIN	EDA	0.4682378421
AP2M1	FURIN	0.0048692707
SERPINB8	FURIN	0.2823323082
FURIN	SORL1	0.3635927694
FURIN	ADAM19	0.6886346143
ROCK1	ADD1	0.5897166708
FURIN	TNFSF13	0.3685450583
FURIN	LECT1	0.7765311653
FURIN	ADAMTS1	0.6886346143
PACS1	FURIN	0.079695988
FURIN	BACE1	0.1986304133
FURIN	NAGPA	0.4682378421
COL23A1	FURIN	0.6029959478
FURIN	ITM2C	0.2823323082
ZP4	FURIN	0.7765311653
FURIN	PDGFA	0.5132272504
HSPH1	ADD1	0.6861197397
FURIN	VWF	0.079695988
QKI	-	0.2441085859
QKI	THAP1	0.9107610648
QKI	PCBP4	0.9998509495
PTPRN	MADD	0.9993689989
FYN	GRIN2B	1
GRIN2A	FYN	1
IL7R	FYN	0.9999999966
FYN	FCGR2A	0.9999972886
